w_ngi,lanes,oneway,len_m,lat,lon
0.5,1,양방통행,351.2,35.150659,126.940955
0.5,1,양방통행,203.9,35.154315,126.948989
0.5,1,양방통행,182.0,35.154457,126.947643
0.5,1,양방통행,164.5,35.150938,126.941401
0.5,1,양방통행,138.3,35.121191,126.957786
0.5,1,양방통행,132.8,35.154042,126.94054
0.5,1,양방통행,132.3,35.153074,126.943538
0.5,1,양방통행,121.2,35.12316,126.957498
0.5,1,양방통행,105.9,35.152145,126.943912
0.5,1,양방통행,102.3,35.152744,126.941236
0.5,1,양방통행,94.7,35.124558,126.95587
0.5,1,양방통행,89.1,35.151966,126.942447
0.5,1,양방통행,71.1,35.153673,126.940654
0.5,1,양방통행,63.9,35.118466,126.959493
0.5,1,양방통행,62.8,35.118346,126.959774
0.5,1,양방통행,62.2,35.124827,126.955749
0.5,1,양방통행,60.1,35.154707,126.942024
0.5,1,양방통행,59.3,35.152539,126.943549
0.5,1,양방통행,57.9,35.154879,126.947878
0.5,1,양방통행,53.1,35.150524,126.94703
0.5,1,양방통행,51.2,35.120229,126.958351
0.5,1,양방통행,50.9,35.150917,126.940677
0.5,1,양방통행,49.2,35.121763,126.957796
0.5,1,양방통행,47.0,35.120699,126.958389
0.5,1,양방통행,45.9,35.151739,126.9445
0.5,1,양방통행,45.5,35.152285,126.944433
0.5,1,양방통행,44.5,35.152335,126.944038
0.5,1,양방통행,44.1,35.12281,126.957714
0.5,1,양방통행,40.9,35.120811,126.957962
0.5,1,양방통행,38.9,35.152055,126.942919
0.5,1,양방통행,33.7,35.120375,126.958493
0.5,1,양방통행,31.4,35.12047,126.958204
0.5,1,양방통행,31.3,35.122062,126.957674
0.5,1,양방통행,26.4,35.150679,126.928079
0.5,1,양방통행,25.3,35.152731,126.943545
0.5,1,양방통행,25.0,35.152273,126.94383
0.5,1,양방통행,23.8,35.152884,126.943352
0.5,1,양방통행,22.0,35.119818,126.957794
0.5,1,양방통행,20.5,35.152867,126.911748
0.6,1,양방통행,19.5,35.145046,126.922006
0.5,1,양방통행,16.6,35.154943,126.942844
0.5,1,양방통행,15.0,35.152742,126.911628
0.5,1,양방통행,13.3,35.120199,126.958635
0.6,1,양방통행,12.3,35.154484,126.919685
0.6,1,양방통행,11.1,35.15125,126.910254
0.5,1,양방통행,5.9,35.154985,126.947027
0.5,1,양방통행,3.2,35.150887,126.940015
0.5,1,양방통행,1.6,35.11985,126.957916
0.5,1,양방통행,1.6,35.118466,126.959154
0.6,1,양방통행,1.3,35.15128,126.910312
0.6,1,양방통행,0.6,35.154524,126.919737
