obs_id,seg_uid,track,seq,offset_m,bearing_deg,lon,lat,road_name,width_src,width_min_m,width_max_m,verdict,landmark,measured_m,kind
DM-194338-283699-6CJO#1,DM-194338-283699-6CJO,A,1,5.5,75.2,126.937731,35.149623,밤실로4번안길,ngii,6.01,,needs_cv,,,
DM-194338-283699-6CJO#2,DM-194338-283699-6CJO,A,2,18.4,74.8,126.937867,35.149653,밤실로4번안길,ngii,6.01,,needs_cv,,,
DM-194338-283699-6CJO#3,DM-194338-283699-6CJO,A,3,31.2,73.9,126.938002,35.149685,밤실로4번안길,ngii,6.01,,needs_cv,,,
DM-194227-283721-AZHT#1,DM-194227-283721-AZHT,A,1,2.6,274.2,126.936715,35.149839,밤실로23번길,ngii,8.09,,clear,,,
DM-194227-283721-AZHT#2,DM-194227-283721-AZHT,A,2,8.5,274.2,126.93665,35.149843,밤실로23번길,ngii,8.09,,clear,,,
DM-194227-283721-AZHT#3,DM-194227-283721-AZHT,A,3,14.5,274.2,126.936584,35.149847,밤실로23번길,ngii,8.09,,clear,,,
DM-192839-284313-X9DQ#1,DM-192839-284313-X9DQ,A,1,6.9,142.2,126.921265,35.155254,중앙로,ngii,2.85,46.87,needs_cv,,,
DM-192839-284313-X9DQ#2,DM-192839-284313-X9DQ,A,2,22.9,123.9,126.921408,35.155172,중앙로,ngii,2.85,46.87,needs_cv,,,
DM-192839-284313-X9DQ#3,DM-192839-284313-X9DQ,A,3,39.0,124.5,126.921551,35.155091,중앙로,ngii,2.85,46.87,needs_cv,,,
DM-192812-283805-5592#1,DM-192812-283805-5592,A,1,10.9,42.1,126.920892,35.150469,제봉로140번길,ngii1k,6.59,8.62,unknown,,,
DM-192812-283805-5592#2,DM-192812-283805-5592,A,2,36.2,54.8,126.921116,35.150601,제봉로140번길,ngii1k,6.59,8.62,unknown,,,
DM-192812-283805-5592#3,DM-192812-283805-5592,A,3,61.6,54.8,126.921342,35.150731,제봉로140번길,ngii1k,6.59,8.62,unknown,,,
DM-193333-283435-GO22#1,DM-193333-283435-GO22,A,1,9.9,117.0,126.926614,35.147361,장동로,ngii1k,7.16,9.86,clear,,,
DM-193333-283435-GO22#2,DM-193333-283435-GO22,A,2,32.9,117.0,126.926839,35.147267,장동로,ngii1k,7.16,9.86,clear,,,
DM-193333-283435-GO22#3,DM-193333-283435-GO22,A,3,56.0,117.3,126.927065,35.147172,장동로,ngii1k,7.16,9.86,clear,,,
DM-193737-283303-S9D5#1,DM-193737-283303-S9D5,A,1,21.9,28.0,126.931009,35.145669,지산로,ngii1k,9.69,,clear,,,
DM-193737-283303-S9D5#2,DM-193737-283303-S9D5,A,2,73.2,28.0,126.931273,35.146077,지산로,ngii1k,9.69,,clear,,,
DM-193737-283303-S9D5#3,DM-193737-283303-S9D5,A,3,124.4,28.0,126.931537,35.146484,지산로,ngii1k,9.69,,clear,,,
DM-193120-283544-GO22#1,DM-193120-283544-GO22,A,1,5.2,39.0,126.924411,35.148163,장동로,ngii1k,8.58,9.97,clear,,,
DM-193120-283544-GO22#2,DM-193120-283544-GO22,A,2,17.4,39.0,126.924495,35.148249,장동로,ngii1k,8.58,9.97,clear,,,
DM-193120-283544-GO22#3,DM-193120-283544-GO22,A,3,29.6,39.0,126.92458,35.148334,장동로,ngii1k,8.58,9.97,clear,,,
DM-192953-283780-6Z8Q#1,DM-192953-283780-6Z8Q,A,1,9.8,316.4,126.92284,35.150223,동명로,ngii1k,1.99,3.79,needs_cv,,,
DM-192953-283780-6Z8Q#2,DM-192953-283780-6Z8Q,A,2,32.7,319.7,126.922669,35.150374,동명로,ngii1k,1.99,3.79,needs_cv,,,
DM-192953-283780-6Z8Q#3,DM-192953-283780-6Z8Q,A,3,55.7,318.6,126.922505,35.150532,동명로,ngii1k,1.99,3.79,needs_cv,,,
DM-193858-283458-RH2F#1,DM-193858-283458-RH2F,A,1,11.6,17.2,126.932463,35.147268,지산로38번길,ngii1k,0.63,,unknown,,,
DM-193858-283458-RH2F#2,DM-193858-283458-RH2F,A,2,38.5,37.9,126.932616,35.147489,지산로38번길,ngii1k,0.63,,unknown,,,
DM-193858-283458-RH2F#3,DM-193858-283458-RH2F,A,3,65.5,95.1,126.932882,35.147435,지산로38번길,ngii1k,0.63,,unknown,,,
DM-193268-283683-JFYG#1,DM-193268-283683-JFYG,A,1,3.1,11.0,126.926109,35.14943,동계천로,ngii1k,1.24,3.7,unknown,,,
DM-193268-283683-JFYG#2,DM-193268-283683-JFYG,A,2,10.4,8.2,126.926121,35.149494,동계천로,ngii1k,1.24,3.7,unknown,,,
DM-193268-283683-JFYG#3,DM-193268-283683-JFYG,A,3,17.7,9.6,126.926133,35.149559,동계천로,ngii1k,1.24,3.7,unknown,,,
DM-192526-284169-BH1S#1,DM-192526-284169-BH1S,A,1,10.0,316.0,126.918151,35.153723,제봉로184번길,silpok,6.18,,unknown,,,
DM-192526-284169-BH1S#2,DM-192526-284169-BH1S,A,2,33.4,316.0,126.917973,35.153875,제봉로184번길,silpok,6.18,,unknown,,,
DM-192526-284169-BH1S#3,DM-192526-284169-BH1S,A,3,56.9,316.0,126.917794,35.154027,제봉로184번길,silpok,6.18,,unknown,,,
DM-192909-284309-52VO#1,DM-192909-284309-52VO,A,1,6.1,63.1,126.922038,35.155078,경양로,silpok,1.1,2.65,blocked,,,
DM-192909-284309-52VO#2,DM-192909-284309-52VO,A,2,20.2,116.1,126.922169,35.155131,경양로,silpok,1.1,2.65,blocked,,,
DM-192909-284309-52VO#3,DM-192909-284309-52VO,A,3,34.3,157.0,126.922233,35.155019,경양로,silpok,1.1,2.65,blocked,,,
DM-192892-283939-YM7N#1,DM-192892-283939-YM7N,B,1,5.4,289.4,126.922123,35.151763,동명로25번길,ngii1k,2.61,7.3,unknown,,,
DM-192892-283939-YM7N#2,DM-192892-283939-YM7N,B,2,18.0,289.4,126.921993,35.151801,동명로25번길,ngii1k,2.61,7.3,unknown,,,
DM-192892-283939-YM7N#3,DM-192892-283939-YM7N,B,3,30.7,289.4,126.921862,35.151839,동명로25번길,ngii1k,2.61,7.3,unknown,,,
DM-192310-284306-CYSW#1,DM-192310-284306-CYSW,B,1,8.1,43.6,126.915457,35.154982,제봉로212번길,ngii1k,3.12,,unknown,,,
DM-192310-284306-CYSW#2,DM-192310-284306-CYSW,B,2,27.1,43.6,126.9156,35.155106,제봉로212번길,ngii1k,3.12,,unknown,,,
DM-192310-284306-CYSW#3,DM-192310-284306-CYSW,B,3,46.2,43.6,126.915744,35.15523,제봉로212번길,ngii1k,3.12,,unknown,,,
DM-193672-284017-KCLM#1,DM-193672-284017-KCLM,B,1,11.3,287.9,126.930826,35.152435,필문대로206번길,ngii1k,7.03,,clear,,,
DM-193672-284017-KCLM#2,DM-193672-284017-KCLM,B,2,37.6,288.8,126.930551,35.152509,필문대로206번길,ngii1k,7.03,,clear,,,
DM-193672-284017-KCLM#3,DM-193672-284017-KCLM,B,3,64.0,289.5,126.930278,35.152586,필문대로206번길,ngii1k,7.03,,clear,,,
DM-192428-284131-GM2I#1,DM-192428-284131-GM2I,B,1,3.5,305.8,126.916971,35.153491,제봉로190번길,ngii,6.95,,unknown,,,
DM-192428-284131-GM2I#2,DM-192428-284131-GM2I,B,2,11.8,305.8,126.916898,35.153535,제봉로190번길,ngii,6.95,,unknown,,,
DM-192428-284131-GM2I#3,DM-192428-284131-GM2I,B,3,20.0,305.8,126.916825,35.153578,제봉로190번길,ngii,6.95,,unknown,,,
DM-192557-284151-BH1S#1,DM-192557-284151-BH1S,B,1,2.8,51.8,126.918252,35.153674,제봉로184번길,ngii,6.39,,unknown,,,
DM-192557-284151-BH1S#2,DM-192557-284151-BH1S,B,2,9.4,51.8,126.918309,35.153711,제봉로184번길,ngii,6.39,,unknown,,,
DM-192557-284151-BH1S#3,DM-192557-284151-BH1S,B,3,15.9,51.8,126.918365,35.153747,제봉로184번길,ngii,6.39,,unknown,,,
DM-192521-284215-JTSZ#1,DM-192521-284215-JTSZ,B,1,2.9,55.1,126.917858,35.154241,동계천로53번길,ngii1k,7.48,,clear,,,
DM-192521-284215-JTSZ#2,DM-192521-284215-JTSZ,B,2,9.8,45.6,126.917913,35.154283,동계천로53번길,ngii1k,7.48,,clear,,,
DM-192521-284215-JTSZ#3,DM-192521-284215-JTSZ,B,3,16.7,45.6,126.917967,35.154327,동계천로53번길,ngii1k,7.48,,clear,,,
DM-193308-283672-JFYG#1,DM-193308-283672-JFYG,B,1,2.3,341.8,126.926576,35.149354,동계천로,ngii1k,7.36,29.81,clear,,,
