seg_uid,track,seg_id,road_name,width_src,band,width_min_m,width_max_m,disagree,verdict,usage,length_m
DM-194338-283699-6CJO,A,DM02200,밤실로4번안길,ngii,3to7,6.01,,3.02,needs_cv,335,36.7
DM-194227-283721-AZHT,A,DM01606,밤실로23번길,ngii,ge7,8.09,,0.85,clear,0,17.1
DM-192839-284313-X9DQ,A,DM03222,중앙로,ngii,lt3,2.85,46.87,2.94,needs_cv,0,45.9
DM-192812-283805-5592,A,DM00094,제봉로140번길,ngii1k,3to7,6.59,8.62,0.8,unknown,0,72.4
DM-193333-283435-GO22,A,DM00245,장동로,ngii1k,ge7,7.16,9.86,0.84,clear,36,65.8
DM-193737-283303-S9D5,A,DM01404,지산로,ngii1k,ge7,9.69,,4.13,clear,0,146.3
DM-193120-283544-GO22,A,DM00997,장동로,ngii1k,ge7,8.58,9.97,0.57,clear,1,34.9
DM-192953-283780-6Z8Q,A,DM00779,동명로,ngii1k,lt3,1.99,3.79,1.42,needs_cv,0,65.5
DM-193858-283458-RH2F,A,DM01646,지산로38번길,ngii1k,lt3,0.63,,1.27,unknown,0,77.1
DM-193268-283683-JFYG,A,DM03214,동계천로,ngii1k,lt3,1.24,3.7,0.14,unknown,2,20.8
DM-192526-284169-BH1S,A,DM00547,제봉로184번길,silpok,3to7,6.18,,,unknown,0,66.9
DM-192909-284309-52VO,A,DM03274,경양로,silpok,lt3,1.1,2.65,,blocked,0,40.4
DM-192892-283939-YM7N,B,DM00825,동명로25번길,ngii1k,lt3,2.61,7.3,30.32,unknown,76,36.1
DM-192310-284306-CYSW,B,DM02395,제봉로212번길,ngii1k,3to7,3.12,,2.15,unknown,53,54.3
DM-193672-284017-KCLM,B,DM02482,필문대로206번길,ngii1k,ge7,7.03,,1.08,clear,70,75.3
DM-192428-284131-GM2I,B,DM02811,제봉로190번길,ngii,3to7,6.95,,1.01,unknown,235,23.6
DM-192557-284151-BH1S,B,DM00546,제봉로184번길,ngii,3to7,6.39,,1.87,unknown,235,18.7
DM-192521-284215-JTSZ,B,DM00563,동계천로53번길,ngii1k,ge7,7.48,,3.08,clear,49,19.6
DM-193308-283672-JFYG,B,DM03215,동계천로,ngii1k,ge7,7.36,29.81,1.12,clear,78,15.2
DM-194178-283948-6RMT,B,DM00284,필문대로205번길,ngii,3to7,3.25,,4.7,needs_cv,70,75.5
DM-193219-283882-OKXU,C,DM00898,동명로26번길,ngii1k,3to7,6.4,7.67,0.09,unknown,0,57.6
DM-192834-284088-Z8KD,C,DM00795,중앙로252번길,ngii1k,lt3,0.78,2.84,0.42,blocked,2,21.2
DM-192279-284364-JFYG,C,DM02393,동계천로,ngii,ge7,9.91,,0.76,clear,0,124.9
DM-192692-284239-X9DQ,C,DM02620,중앙로,ngii1k,lt3,1.48,5.03,0.42,unknown,0,17.9
DM-193781-283733-U6CJ,C,DM02948,동명로98번길,ngii1k,lt3,0.92,,,unknown,0,40.4
