대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
전남광주통합특별시 동구 대인동 1-8번지,12210,10100,0,0001,0008,10651656,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,41.65,0,41.65,41.65,0,12,블록구조,세브조,01000,단독주택,주택,10,(철근)콘크리트,세와,0,1,0,1,0,0,0,0,0,41.65,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 1-62번지,12210,10100,0,0001,0062,10651657,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,51.9,0,51.9,51.9,0,51,일반목구조,목조,01000,단독주택,주택,20,기와,세와,0,1,0,1,0,0,0,0,0,51.9,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 2-80번지,12210,10100,0,0002,0080,10651658,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,8.26,0,8.26,8.26,0,51,일반목구조,목조,03000,제1종근린생활시설,점포,90,기타지붕,아연,0,0,0,1,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 4-2번지,12210,10100,0,0004,0002,10651659,1,일반,2,일반건축물,전남광주통합특별시 동구 독립로 276 (대인동),,,,,0,122103009020,10101,0,276,,주1,0,주건축물,475,365.31,76.91,2834.01,2450.66,515.93,21,철근콘크리트구조,철근콘크리트조,09000,의료시설,요양병원,10,(철근)콘크리트,스라브,0,0,32.65,8,1,1,0,0,0,2834.01,0,0,0,0,8,92,0,0,19800522,,19841231,,,,,,0,,0,0,,0,,0,20250819,0,
전남광주통합특별시 동구 대인동 7-1번지,12210,10100,0,0007,0001,10651660,1,일반,2,일반건축물,,롯데백화점광주점,,,,2,,,0,0,0,롯데백화점 광주점,0,주건축물,8074.4,4902.92,60.72,85264.46,49927.76,618.35,21,철근콘크리트구조,"철근콘크리트조, 철골조",07000,판매시설,"판매시설, 문화및집회시설,교육연구시설",10,(철근)콘크리트,슬라브,0,0,59.9,12,6,12,3,0,0,85264.46,0,0,0,0,755,0,0,0,19950626,19950627,19980916,,,,,,0,,0,0,,0,,0,20250122,0,
전남광주통합특별시 동구 대인동 7-12번지,12210,10100,0,0007,0012,10651661,1,일반,2,일반건축물,전남광주통합특별시 동구 제봉로 225 (대인동),광주은행 본점,,,,0,122103009006,10101,0,225,,,0,주건축물,7976.8,2791.37,34.9936,46990.35,30199.29,378.589,31,일반철골구조,"철골철근콘크리트조, 철골조",14000,업무시설,"업무시설, 박물관, 휴게음식점",10,(철근)콘크리트,스라브,0,0,94.55,20,5,8,1,0,0,46990.35,584,919.54,0,0,43,1140,4,60,19930429,19931224,19970702,,,,,,0,,0,0,,0,,0,20221028,1,
전남광주통합특별시 동구 대인동 15-6번지,12210,10100,0,0015,0006,10651662,1,일반,2,일반건축물,전남광주통합특별시 동구 독립로264번길 15 (대인동),,,,,0,122104277060,10101,0,15,,,0,주건축물,108.2,94.28,87.13,188.56,188.56,174.27,11,벽돌구조,세벽조,03000,제1종근린생활시설,"점포, 창고",10,(철근)콘크리트,스라브,0,0,0,2,0,0,0,0,0,188.56,0,0,0,0,0,0,0,0,19850829,19851002,19860113,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 16-1번지,12210,10100,0,0016,0001,10651663,1,일반,2,일반건축물,전남광주통합특별시 동구 제봉로213번길 14-1 (대인동),,,,,0,122104277184,10101,0,14,1,,1,부속건축물,0,12.56,0,0,12.56,0,51,일반목구조,,15000,숙박시설,,90,기타지붕,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 16-1번지,12210,10100,0,0016,0001,10651664,1,일반,2,일반건축물,전남광주통합특별시 동구 제봉로213번길 14-1 (대인동),,,,,0,122104277184,10101,0,14,1,,0,주건축물,0,126.93,0,79.33,126.93,0,51,일반목구조,목조,01000,단독주택,"여관, 주택",20,기와,"세와, 스레트",0,2,0,1,0,0,0,1,12.56,79.33,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 16-3번지,12210,10100,0,0016,0003,10651665,1,일반,2,일반건축물,전남광주통합특별시 동구 독립로264번길 17 (대인동),,,,,0,122104277060,10101,0,17,0,,0,주건축물,0,210.58,0,130.24,210.58,0,51,일반목구조,목조,15000,숙박시설,"여관, 점포",90,기타지붕,아연,0,0,0,1,0,0,0,0,0,130.24,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 16-5번지,12210,10100,0,0016,0005,10651666,1,일반,2,일반건축물,전남광주통합특별시 동구 제봉로213번길 14 (대인동),,,,,0,122104277184,10101,0,14,0,,0,주건축물,0,85.28,0,85.28,85.28,0,51,일반목구조,목조,03000,제1종근린생활시설,"점포,일반음식점",30,슬레이트,스레트,0,0,0,1,0,0,0,0,0,85.28,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 16-11번지,12210,10100,0,0016,0011,10651670,1,일반,2,일반건축물,전남광주통합특별시 동구 독립로264번길 15-1 (대인동),,,,,0,122104277060,10101,0,15,1,,0,주건축물,0,125.15,0,477.45,371.75,0,21,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설,10,(철근)콘크리트,(철근)콘크리트,0,0,0,3,1,0,0,0,0,477.45,0,0,0,0,0,0,0,0,19761125,,19770517,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 17-2번지,12210,10100,0,0017,0002,1000000000000002449211,1,일반,2,일반건축물,전남광주통합특별시 동구 제봉로 221-31 (대인동),라나빌딩,,,,7,122103009006,10101,0,221,31,주건축물제1동,0,주건축물,766.69,529.62,69.08,2997.91,2795.06,364.56,42,철골철근콘크리트구조,철골철근콘크리트구조,03000,제1종근린생활시설,"제1,2종 근린생활시설",10,(철근)콘크리트,평 슬래브,0,0,35.3,7,1,1,0,0,0,2997.91,36,53.62,0,0,1,16.5,0,0,20220207,20220602,20230927,2022,3590141,건축과,1101,신축허가,12,,0,0,,0,,0,20240520,1,Ⅶ-0.170g
전남광주통합특별시 동구 대인동 20번지,12210,10100,0,0020,0000,10651675,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,23.14,0,23.14,23.14,0,51,일반목구조,목조,03000,제1종근린생활시설,상점,20,기와,세와,0,0,0,1,0,0,0,0,0,23.14,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 20-10번지,12210,10100,0,0020,0010,10651676,1,일반,2,일반건축물,전남광주통합특별시 동구 제봉로 217 (대인동),,,,,1,122103009006,10101,0,217,0,,0,주건축물,152.7,149.255,97.74,253.75,253.75,166.18,11,벽돌구조,세벽조,03000,제1종근린생활시설,"소매점, 미용실",10,(철근)콘크리트,스라브,0,0,6.5,2,0,0,0,0,0,253.75,0,0,0,0,0,0,0,0,19770823,,19800922,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 20-12번지,12210,10100,0,0020,0012,10651677,1,일반,2,일반건축물,전남광주통합특별시 동구 제봉로 219-1 (대인동),,,,,0,122103009006,10101,0,219,1,,0,주건축물,66,51.68,78.3,103.36,103.36,156.6,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,,10,(철근)콘크리트,스라브,0,0,0,2,0,0,0,0,0,103.36,0,0,0,0,0,0,0,0,19870824,,19871211,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 대인동 20-13번지,12210,10100,0,0020,0013,10651678,1,일반,2,일반건축물,,,,,,0,,,0,,,주건축물제1동,0,주건축물,33.1,25.12,75.8912,41.97,41.97,126.7976,51,일반목구조,목조,03000,제1종근린생활시설,미용원,20,기와,세와,0,0,0,2,0,0,0,0,0,41.97,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20240409,,
전남광주통합특별시 동구 대인동 20-14번지,12210,10100,0,0020,0014,10651679,1,일반,2,일반건축물,전남광주통합특별시 동구 제봉로 221 (대인동),,,,,0,122103009006,10101,0,221,0,,0,주건축물,0,76.03,0,135.52,135.52,0,51,일반목구조,목조,03000,제1종근린생활시설,"점포, 주택",20,기와,세와,0,1,0,2,0,0,0,0,0,135.52,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
