camera_id,road_name,addr_road,addr_jibun,lat,lon,cams,px,direction,year,geomFilter
cam_001,,,동구 동명동 36-7,35.149656,126.928401,1,200만,360도,2014,"BOX(126.927299,35.148755,126.929503,35.150557)"
cam_002,,,동구 동명동 36-7,35.149656,126.928401,1,200만,360도,2025,"BOX(126.927299,35.148755,126.929503,35.150557)"
cam_003,,,동구 지산동 677-3,35.150134,126.928619,1,200만,360도,2024,"BOX(126.927517,35.149233,126.929721,35.151035)"
cam_004,,,동구 지산동 677-3,35.150134,126.928619,1,200만,360도,2022,"BOX(126.927517,35.149233,126.929721,35.151035)"
cam_005,,,동구 동명동 154-158,35.150601,126.927948,1,200만,360도,2024,"BOX(126.926846,35.149700,126.929050,35.151502)"
cam_006,,,동구 동명동 154-158,35.150601,126.927948,2,200만,360도,2018,"BOX(126.926846,35.149700,126.929050,35.151502)"
cam_007,,,동구 동명동 68-45,35.150289,126.926929,1,200만,360도,2019,"BOX(126.925827,35.149388,126.928031,35.151190)"
cam_008,,,동구 동명동 68-45,35.150289,126.926929,2,200만,360도,2020,"BOX(126.925827,35.149388,126.928031,35.151190)"
cam_009,,,동구 동명동 181-5,35.152596,126.925749,1,200만,360도,2019,"BOX(126.924647,35.151695,126.926851,35.153497)"
cam_010,,,동구 동명동 181-5,35.152596,126.925749,1,200만,360도,2023,"BOX(126.924647,35.151695,126.926851,35.153497)"
cam_011,,,동구 동명동 181-5,35.152596,126.925749,1,200만,360도,2024,"BOX(126.924647,35.151695,126.926851,35.153497)"
cam_012,동계로,동구 동계로 7,동구 동명동 200-22,35.152539,126.924103,2,200만,360도,2017,"BOX(126.923001,35.151638,126.925205,35.153440)"
cam_013,동계로,동구 동계로 7,동구 동명동 200-22,35.152539,126.924103,1,200만,360도,2017,"BOX(126.923001,35.151638,126.925205,35.153440)"
cam_014,동계로,동구 동계로 7,동구 동명동 200-22,35.152539,126.924103,1,200만,360도,2013,"BOX(126.923001,35.151638,126.925205,35.153440)"
cam_015,동계로13번길,동구 동계로13번길 11,동구 동명동 207-78,35.15321,126.923193,3,200만,360도,2019,"BOX(126.922091,35.152309,126.924295,35.154111)"
cam_016,동계로1번길,동구 동계로1번길 9,동구 동명동 200-153,35.152029,126.923055,3,200만,360도,2019,"BOX(126.921953,35.151128,126.924157,35.152930)"
cam_017,동계로1번길,동구 동계로1번길 9,동구 동명동 200-153,35.152029,126.923055,1,200만,360도,2016,"BOX(126.921953,35.151128,126.924157,35.152930)"
cam_018,동계로9번길,동구 동계로9번길 13,동구 동명동 200-31,35.152972,126.922411,1,200만,360도,2018,"BOX(126.921309,35.152071,126.923513,35.153873)"
cam_019,동계로9번길,동구 동계로9번길 13,동구 동명동 200-31,35.152972,126.922411,3,200만,360도,2024,"BOX(126.921309,35.152071,126.923513,35.153873)"
cam_020,동계천로,동구 동계천로 159-11,동구 동명동 68-8,35.149821,126.926351,4,200만,360도,2019,"BOX(126.925249,35.148920,126.927453,35.150722)"
cam_021,동계천로,동구 동계천로 162,동구 동명동 78-1,35.149109,126.926774,3,200만,360도,2023,"BOX(126.925672,35.148208,126.927876,35.150010)"
cam_022,동계천로,동구 동계천로 162,동구 동명동 78-1,35.149109,126.926774,1,200만,360도,2023,"BOX(126.925672,35.148208,126.927876,35.150010)"
cam_023,동계천로,동구 동계천로 170,동구 동명동 83-1,35.149033,126.928044,1,200만,360도,2023,"BOX(126.926942,35.148132,126.929146,35.149934)"
cam_024,동계천로,동구 동계천로 170,동구 동명동 83-1,35.149033,126.928044,1,200만,360도,2023,"BOX(126.926942,35.148132,126.929146,35.149934)"
