연번,지역명,구간거리(m),폭(m),세대수,데이터기준일자
1,"대인시장 : 제봉로184번길 10(대인동) 일대(구, 동계천1로, 대인시장길 1길-2길-3길-4길)",750,5,118,2025-07-31
2,"남광주 시장 : 제봉로17번길 9-9(학동) 일대(구, 양림로)",50,2.7~3.2,54,2025-07-31
3,"금남맨션 : 중앙로196번길 14(금남로3가, 금남맨션)일대(구, 중앙초등길, 대의2길)",100,4,50,2025-07-31
4,"홍림교 ~ 현대 APT 동구 증심천로89번길16(학동, 현대아파트 일대)(구, 숙실길)",300,6,250,2025-07-31
5,"조대후문 : 동구 필문대로289번길(서석동) 일대(구, 도내기시장 1길 ~ 지산5길)",120,8,20,2025-07-31
6,"계림동, 산수동 고지대일대 동구 경양로 333외(산수동)(구, 신작2길)",230,6,114,2025-07-31
7,"계림동 남도예식장 주변주택가 동구 중앙로 283-1외(계림동) (구, 대림 2길)",350,5,150,2025-07-31
8,"계림2동사무소 주변주택가 동구 중앙로272번길 41-1 외(계림동) (구, 계림잿등1길, 계림 잿등길)",600,5,321,2025-07-31
9,"삼성홈플러스 계림점 : 무등로 314 외(계림동) (구, 시청옆길, 대지길, 계림초등길)",200,5,174,2025-07-31
10,"금수장 주변 주택가 동구 무등로321번길2(계림동)(구,물들3길,풍년1길,풍년2길)",200,6,123,2025-07-31
11,"계림동주민센터 일대 : 경양로 247번길 26(계림동) (구, 동구 계림1길, 계림2길)",1000,6,194,2025-07-31
12,"정도프라자 ~ 은석고시학원 동구 남문로 753번길7 (학동) (구, 학동1길)",600,8,100,2025-07-31
13,"거성마트옆길 ~ 살레시오여고 후문 동구 지산로 37(지산1동) 일대(구, 섬들1길, 살레시오여고옆길)",120,6,60,2025-07-31
14,"동명교회주변 동구 동명로20번길 31(동명동) 일대(구, 동문2길)",200,5,400,2025-07-31
15,"동산로얄아파트주변 동구 필문대로123번길 5-3(산수2동) 일대(구, 밤실로)",250,5,210,2025-07-31
16,"법원앞 ~ 산수놀이터 동구 필문대로205번길 18(지산동) 일대(구, 법원북1길)",100,8,420,2025-07-31
17,"지산복지회관 주변 동구 밤실로4번길 16(지산2동) 일대(구, 지호로)",80,5,70,2025-07-31
18,"동명동 동명파크맨션 주변 동구 동계로9번길 12(동명동) 일대(구, 문장1길)",220,6,320,2025-07-31
19,"대인시장 : 동구 제봉로 184번길 10(대인동) 일대(구, 동계천1로, 대인시장길 1길-2길-3길-4길)",750,5,118,2025-07-31
20,충장로 5가 일대: 동구 충장로 5가,900,4,186,2025-07-31
