segment_id,rds_man_no,road_name,road_bt,tier,cctv_coverage,current_status,lat,lon,start_lat,start_lon,end_lat,end_lon,length_m,road_lt_raw,geomFilter
seg_2220,2220,경양로,3.0,CANDIDATE,BLIND,GRAY,35.154677,126.921942,35.154507,126.921892,35.154761,126.921863,39.0,3500.0,"BOX(126.921643,35.154326,126.922191,35.154942)"
seg_2221,2221,경양로,5.0,CANDIDATE,BLIND,GRAY,35.15481,126.922223,35.154465,126.922561,35.15519,126.92188,105.4,3500.0,"BOX(126.921660,35.154284,126.922781,35.155370)"
seg_2226,2226,경양로,2.0,CANDIDATE,BLIND,GRAY,35.15507,126.92202,35.155054,126.921983,35.155086,126.922056,7.5,3500.0,"BOX(126.921763,35.154874,126.922277,35.155266)"
seg_353,353,경양로,15.0,FIXED_PASS,,BLUE,35.154485,126.921569,35.154653,126.920572,35.154457,126.922678,202.3,3500.0,"BOX(126.920352,35.154226,126.922898,35.154833)"
seg_2223,2223,경양로305번길,2.0,CANDIDATE,BLIND,GRAY,35.15485,126.922282,35.154828,126.922405,35.15485,126.922155,23.1,51.0,"BOX(126.921934,35.154648,126.922626,35.155030)"
seg_114,114,계림로,10.0,CANDIDATE,BLIND,GRAY,35.154834,126.921385,35.154536,126.920737,35.155239,126.921938,135.1,670.0,"BOX(126.920517,35.154356,126.922158,35.155420)"
seg_2293,2293,계림로,1.522,FIXED_BLOCK,,RED,35.154919,126.921696,35.154988,126.921609,35.154936,126.921792,22.1,22.0,"BOX(126.921389,35.154717,126.922012,35.155168)"
seg_102,102,구성로238번길,11.0,CANDIDATE,BLIND,GRAY,35.153882,126.919913,35.153899,126.91989,35.153865,126.919935,5.5,329.0,"BOX(126.919670,35.153685,126.920155,35.154079)"
seg_2167,2167,동계로,5.0,CANDIDATE,COVERED,YELLOW,35.153093,126.924948,35.153165,126.924452,35.152887,126.925369,92.2,92.0,"BOX(126.924232,35.152707,126.925590,35.153345)"
seg_2882,2882,동계로,2.0,CANDIDATE,COVERED,YELLOW,35.153179,126.924847,35.153127,126.92484,35.153231,126.924829,11.9,21.942,"BOX(126.924608,35.152947,126.925070,35.153411)"
seg_2883,2883,동계로,2.0,CANDIDATE,COVERED,YELLOW,35.153148,126.92493,35.153105,126.92491,35.153192,126.924948,10.3,16.869,"BOX(126.924689,35.152925,126.925168,35.153373)"
seg_2884,2884,동계로,2.0,CANDIDATE,COVERED,YELLOW,35.153044,126.925194,35.15302,126.925181,35.153068,126.925208,5.9,29.107,"BOX(126.924960,35.152840,126.925428,35.153249)"
seg_323,323,동계로,19.0,FIXED_PASS,,BLUE,35.152563,126.924262,35.151871,126.924068,35.153254,126.924463,157.7,525.0,"BOX(126.923848,35.151691,126.924684,35.153434)"
seg_125,125,동계로10번길,6.0,CANDIDATE,COVERED,YELLOW,35.1525,126.925282,35.152589,126.924284,35.152642,126.926254,182.6,213.0,"BOX(126.924063,35.152304,126.926474,35.152822)"
seg_2166,2166,동계로10번길,2.0,CANDIDATE,BLIND,GRAY,35.152573,126.925465,35.15249,126.92546,35.152655,126.925469,18.3,18.0,"BOX(126.925240,35.152310,126.925689,35.152836)"
seg_124,124,동계로12번길,6.0,CANDIDATE,COVERED,YELLOW,35.152739,126.924871,35.152662,126.924304,35.15291,126.925423,107.3,161.0,"BOX(126.924084,35.152454,126.925643,35.153090)"
seg_2168,2168,동계로12번길,2.0,CANDIDATE,COVERED,YELLOW,35.152702,126.925778,35.152877,126.925669,35.152521,126.925874,43.8,74.0,"BOX(126.925449,35.152341,126.926094,35.153057)"
seg_123,123,동계로13번길,6.0,CANDIDATE,COVERED,YELLOW,35.153257,126.92312,35.152946,126.924388,35.153384,126.921817,240.8,242.0,"BOX(126.921596,35.152765,126.924608,35.153564)"
seg_2199,2199,동계로13번길,2.0,CANDIDATE,COVERED,YELLOW,35.153284,126.922434,35.153382,126.922338,35.153173,126.922503,27.8,29.0,"BOX(126.922118,35.152992,126.922723,35.153562)"
seg_2206,2206,동계로13번길,3.0,CANDIDATE,COVERED,YELLOW,35.15346,126.923608,35.153114,126.923645,35.153602,126.923136,91.5,90.0,"BOX(126.922916,35.152934,126.923929,35.153782)"
seg_2207,2207,동계로13번길,2.0,CANDIDATE,COVERED,YELLOW,35.153185,126.923994,35.152999,126.924151,35.153323,126.923685,64.2,63.0,"BOX(126.923465,35.152819,126.924410,35.153504)"
seg_2208,2208,동계로13번길,3.0,CANDIDATE,COVERED,YELLOW,35.153545,126.923152,35.153242,126.923171,35.153861,126.923188,72.5,74.0,"BOX(126.922875,35.153061,126.923409,35.154042)"
seg_2211,2211,동계로13번길,9.0,CANDIDATE,COVERED,YELLOW,35.153713,126.922656,35.153376,126.922617,35.154051,126.922694,75.2,75.0,"BOX(126.922397,35.153196,126.922914,35.154231)"
