segment_id,road_name,width_m,width_min_m,width_p25_m,n_sample,width_src,road_bt,tier,current_status,flag
seg_1109,필문대로289번길,4.61,3.16,4.24,5,ngii_digitalmap,2.0,CANDIDATE,GRAY,
seg_143,장동로54번길,8.51,1.12,4.95,5,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_193,필문대로273번길,8.49,8.06,8.06,43,ngii_digitalmap,8.0,CANDIDATE,GRAY,
seg_1113,필문대로273번길,9.86,8.94,9.63,4,ngii_digitalmap,3.0,CANDIDATE,GRAY,
seg_1947,백서로,2.15,1.8,2.02,6,silpok,2.0,FIXED_BLOCK,RED,
seg_303,필문대로289번길,4.03,3.16,3.61,135,ngii_digitalmap,4.0,CANDIDATE,GRAY,
seg_1946,백서로,14.76,2.92,8.61,7,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1152,필문대로289번길,3.61,2.06,2.83,3,ngii_digitalmap,2.0,CANDIDATE,GRAY,
seg_1148,필문대로273번길,8.06,2.06,5.83,5,ngii_digitalmap,3.0,CANDIDATE,GRAY,
seg_1157,필문대로289번길,3.61,1.58,3.1,4,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_1945,장동로,3.16,3.16,3.16,20,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1155,필문대로289번길,3.61,3.54,3.59,4,ngii_digitalmap,2.0,CANDIDATE,GRAY,
seg_3524,필문대로263번길,3.61,0.5,3.59,16,ngii_digitalmap,8.0,FIXED_BLOCK,RED,
seg_2282,장동로,6.71,4.92,6.5,30,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_1154,필문대로263번길,6.04,2.5,6.04,5,ngii_digitalmap,3.0,CANDIDATE,GRAY,
seg_1166,필문대로263번길,1.31,0.5,0.91,2,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_1164,필문대로263번길,6.04,1.0,5.15,9,ngii_digitalmap,4.0,FIXED_BLOCK,RED,
seg_1942,백서로224번길,3.04,1.0,3.04,34,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_71,백서로,7.16,7.0,7.0,134,ngii_digitalmap,16.0,CANDIDATE,GRAY,
seg_312,제봉로82번길,13.54,11.01,12.46,6,ngii_digitalmap,14.0,CANDIDATE,GRAY,
seg_2069,장동로,8.14,7.81,7.97,3,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_137,제봉로110번길,10.97,7.28,8.96,7,ngii_digitalmap,7.0,CANDIDATE,GRAY,
seg_2076,동계천로,6.89,4.3,4.38,6,ngii_digitalmap,4.0,CANDIDATE,YELLOW,
seg_2078,동계천로,4.53,4.53,4.53,41,ngii_digitalmap,5.0,CANDIDATE,YELLOW,
seg_196,필문대로263번길,6.04,6.04,6.04,86,ngii_digitalmap,6.0,CANDIDATE,GRAY,
seg_197,필문대로253번길,7.5,6.0,6.5,79,ngii_digitalmap,8.0,CANDIDATE,YELLOW,
seg_1182,필문대로253번길,9.22,8.5,8.56,5,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_1943,백서로224번길,3.04,3.04,3.04,22,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1162,필문대로263번길,6.04,6.04,6.04,45,ngii_digitalmap,7.0,CANDIDATE,GRAY,
seg_1944,백서로224번길,3.04,3.04,3.04,21,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_146,백서로224번길,4.03,1.5,4.03,49,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
