seg_uid,seg_id,road_name,length_m
DM-191931-284253-LPTE,DM00619,독립로264번길,46.4
DM-191937-284226-LPTE,DM00621,독립로264번길,33.9
DM-191948-284089-LMYC,DM02548,금남로,84.1
DM-191962-284198-LPTE,DM00623,독립로264번길,44.5
DM-191963-284226-LPTE,DM00620,독립로264번길,36.9
DM-191973-284063-LMYC,DM02550,금남로,93.6
DM-191993-284106-LMYC,DM02882,금남로,40.4
DM-192003-284145-LMYC,DM00626,금남로,73.3
DM-192003-284192-LPTE,DM00622,독립로264번길,66.9
DM-192009-284093-LMYC,DM02921,금남로,1.2
DM-192014-284036-4X0Z,DM01954,금남로169번길,84.7
DM-192019-284086-4X0Z,DM02922,금남로169번길,22.5
DM-192035-284073-4X0Z,DM01957,금남로169번길,18.6
DM-192041-284161-LPTE,DM00624,독립로264번길,32.3
DM-192042-284090-4X0Z,DM02924,금남로169번길,37.1
DM-192046-284189-W4QT,DM00625,제봉로,50.5
DM-192062-284144-LPTE,DM00517,독립로264번길,21.6
DM-192066-284162-LPTE,DM00627,독립로264번길,32.6
DM-192068-283974-YE20,DM00144,구성로,55.7
DM-192071-284090-4X0Z,DM00629,금남로169번길,72.8
DM-192072-284215-W4QT,DM03239,제봉로,23.7
DM-192074-284041-4X0Z,DM00149,금남로169번길,83.2
DM-192074-284328-W4QT,DM00121,제봉로,148.7
DM-192074-284459-9Z2R,DM02642,독립로,44.9
DM-192078-284396-9Z2R,DM00654,독립로,98.7
DM-192079-284183-Y0V6,DM00516,제봉로213번길,57.5
DM-192080-284147-Y0V6,DM00515,제봉로213번길,27.6
DM-192083-284127-LPTE,DM00518,독립로264번길,32.8
DM-192091-284234-W4QT,DM03237,제봉로,28.9
DM-192096-284003-YE20,DM00147,구성로,24.9
DM-192097-284200-Y0V6,DM00514,제봉로213번길,57.5
DM-192100-283976-YE20,DM00148,구성로,43.2
DM-192100-284166-Y0V6,DM00513,제봉로213번길,26.7
DM-192101-284501-JFYG,DM00649,동계천로,73.2
DM-192103-284459-9Z2R,DM02643,독립로,23.6
DM-192109-284233-W4QT,DM03238,제봉로,27.4
DM-192111-284444-9Z2R,DM00652,독립로,36.3
DM-192116-284100-LPTE,DM00628,독립로264번길,52.9
DM-192118-284263-W4QT,DM00123,제봉로,50.5
DM-192119-284363-BQT2,DM00656,동계천로6번길,20.9
DM-192123-284186-Y0V6,DM00511,제봉로213번길,34.9
DM-192125-284071-LPTE,DM00630,독립로264번길,33.7
DM-192127-284380-BQT2,DM00653,동계천로6번길,33.8
DM-192128-284417-BQT2,DM00651,동계천로6번길,41.3
DM-192129-284459-BQT2,DM00648,동계천로6번길,41.9
DM-192131-284040-YE20,DM00150,구성로,76.7
DM-192139-284207-Y0V6,DM00512,제봉로213번길,30.7
DM-192145-284345-BQT2,DM00655,동계천로6번길,48.9
DM-192146-284075-LPTE,DM00151,독립로264번길,24.3
DM-192146-284307-5ICV,DM00122,제봉로222번길,56.1
DM-192147-284222-Y0V6,DM03240,제봉로213번길,16.5
DM-192159-284263-W4QT,DM00119,제봉로,63.8
DM-192164-284393-BQT2,DM00657,동계천로6번길,96.3
DM-192164-284455-JFYG,DM00650,동계천로,83.9
DM-192171-284212-Y0V6,DM00118,제봉로213번길,73.3
DM-192171-284226-Y0V6,DM00120,제봉로213번길,44.3
DM-192175-284052-HBVY,DM00153,구성로194번길,49.6
DM-192180-284348-5ICV,DM00658,제봉로222번길,48.5
DM-192186-283990-HBVY,DM00641,구성로194번길,89.1
DM-192193-284107-YE20,DM00152,구성로,105.2
DM-192193-284237-W4QT,DM00117,제봉로,22.9
DM-192207-284050-HBVY,DM00639,구성로194번길,43.6
DM-192209-284025-HBVY,DM00638,구성로194번길,37.6
DM-192213-284293-5ICV,DM00659,제봉로222번길,123.3
DM-192213-284384-5ICV,DM02436,제봉로222번길,49.6
DM-192213-284415-JFYG,DM02434,동계천로,42.0
DM-192214-284076-HBVY,DM02938,구성로194번길,25.0
DM-192223-284064-HBVY,DM02937,구성로194번길,8.2
DM-192226-283911-LMYC,DM00642,금남로,155.2
DM-192233-284067-HBVY,DM02940,구성로194번길,15.9
DM-192234-284206-W4QT,DM00115,제봉로,78.1
DM-192237-284056-HBVY,DM02939,구성로194번길,25.2
DM-192244-284326-5ICV,DM02850,제봉로222번길,123.6
DM-192247-284165-YE20,DM00116,구성로,54.0
DM-192252-283989-HBVY,DM00640,구성로194번길,73.4
DM-192259-284111-ZLSO,DM00154,구성로204번길,92.4
DM-192268-284061-ZLSO,DM00632,구성로204번길,51.8
DM-192277-284271-CYSW,DM02851,제봉로212번길,41.5
DM-192279-284364-JFYG,DM02435,동계천로,124.9
DM-192283-284240-CYSW,DM00156,제봉로212번길,51.0
DM-192285-284205-YE20,DM00155,구성로,55.8
DM-192290-283976-HBVY,DM00643,구성로194번길,27.4
DM-192291-283996-HBVY,DM02936,구성로194번길,28.3
DM-192294-284049-ZLSO,DM00634,구성로204번길,38.7
DM-192295-284069-ZLSO,DM00631,구성로204번길,18.3
DM-192310-284306-CYSW,DM02437,제봉로212번길,54.3
DM-192311-284149-W4QT,DM00113,제봉로,114.9
DM-192318-284004-HBVY,DM00636,구성로194번길,51.8
DM-192319-284042-ZLSO,DM00633,구성로204번길,53.0
DM-192327-284208-4W2N,DM00158,제봉로200번길,58.3
DM-192338-284262-YE20,DM00157,구성로,98.9
DM-192340-283917-HBVY,DM00370,구성로194번길,154.6
DM-192350-284311-JFYG,DM00160,동계천로,51.7
DM-192354-284002-ZLSO,DM00635,구성로204번길,52.4
DM-192367-284053-ZLSO,DM00112,구성로204번길,87.2
DM-192369-284131-66YK,DM00114,제봉로194번길,40.1
DM-192370-284175-66YK,DM00552,제봉로194번길,50.4
DM-192377-284099-W4QT,DM00111,제봉로,50.8
DM-192383-284226-4W2N,DM02852,제봉로200번길,97.5
DM-192385-283995-ZLSO,DM00637,구성로204번길,37.3
DM-192385-284153-66YK,DM00548,제봉로194번길,15.2
DM-192391-284278-4W2N,DM00161,제봉로200번길,59.5
DM-192398-284133-66YK,DM00549,제봉로194번길,44.4
DM-192401-284171-66YK,DM00550,제봉로194번길,32.8
DM-192402-284287-JFYG,DM00586,동계천로,64.6
DM-192404-284149-GM2I,DM00551,제봉로190번길,35.6
DM-192405-283944-ZLSO,DM00374,구성로204번길,102.8
DM-192405-284332-YE20,DM00159,구성로,96.2
DM-192410-283995-ZLSO,DM02933,구성로204번길,34.8
DM-192416-284070-W4QT,DM00109,제봉로,47.4
DM-192419-284030-W4QT,DM00108,제봉로,60.8
DM-192421-284268-4W2N,DM02438,제봉로200번길,15.1
DM-192423-284145-GM2I,DM03336,제봉로190번길,16.4
DM-192424-284303-D6CG,DM03163,동계천로43번길,37.5
DM-192426-284172-66YK,DM00554,제봉로194번길,33.4
DM-192428-284131-GM2I,DM02854,제봉로190번길,23.6
DM-192433-284277-D6CG,DM00585,동계천로43번길,12.6
