NODE_ID,TURN_ID,ST_LINK,ED_LINK,TURN_TYPE,TURN_OPER,REMARK
1750008404,1,1770051000,1750067200,103,0,
1750008402,1,1750067400,1750067200,101,0,
1750012105,1,1750070805,1750070901,011,0,
1750012104,2,1750025505,1750070901,101,0,
1750011002,1,1750068503,1750020800,101,0,
1770015204,1,1770154303,1770048102,101,0,
1750011506,2,1750020802,1750020700,011,0,
1780005607,1,1750026600,1750024301,101,0,
1780006105,1,1780283500,1780011500,102,0,
1770017102,1,1770055000,1770053401,101,0,
1770017303,1,1770147300,1770059000,101,0,
1780006106,1,1780012202,1780011500,101,0,
1750002307,2,1750004600,1750037601,101,0,
1750008701,1,1750015704,1750015100,101,0,
1750008703,1,1750016003,1750015100,103,0,
1750002504,1,1750005205,1750005101,011,0,
1750002002,1,1750003903,1750004000,011,0,
1750002309,1,1750004804,1750004701,011,0,
1780006602,1,1750029502,1750029600,011,0,
1780008804,1,1780018000,1780015900,102,0,
1750013003,1,1750028606,1750028700,101,0,
1750011715,1,1750024203,1750024104,101,0,
1780005610,1,1780429800,1750026500,101,0,
1750008803,1,1770054800,1750068000,103,0,
1750008801,1,1750068204,1750068000,101,0,
1750013809,1,1750033008,1750032903,011,0,
1780007201,1,1750026402,1750026302,011,0,
1750011506,1,1750020802,1750069400,101,0,
1750002404,1,1750004705,1750004802,011,0,
1750002105,2,1750004102,1750016700,101,0,
1750002405,1,1750024800,1750004901,101,0,
1750002407,1,1750005005,1750004901,011,0,
1780005203,1,1750022202,1780428500,101,0,
1750009902,1,1750047503,1750069000,101,0,
1780006105,2,1780283500,1780012100,101,0,
1780006106,2,1780012202,1780012100,011,0,
1780005004,2,1750022102,1750069600,101,0,
1750010903,2,1750017602,1750020601,102,0,
1750008302,1,1750014800,1750067000,101,0,
1750011508,1,1750022502,1750022701,101,0,
1750008507,1,1750057302,1750057400,011,0,
1750002202,1,1750004302,1750019800,101,0,
1770017304,1,1770058900,1770058700,101,0,
1750009906,1,1750047700,1750068800,101,0,
1750002502,1,1750004907,1750005001,011,0,
1770016604,1,1770054700,1770055000,103,0,
1780008506,1,1750033300,1750033400,011,0,
1750009203,1,1770057000,1750068400,103,0,
1750009201,1,1750068602,1750068400,101,0,
1770017101,1,1770056900,1770057200,103,0,
1770017103,1,1770053309,1770057200,101,0,
1750008405,1,1750067600,1750067300,101,0,
1750002307,1,1750004600,1750004500,011,0,
1780008708,1,1750033400,1750033300,011,0,
1750009907,1,1750068700,1770058800,101,0,
1780008212,1,1780013102,1780013200,011,0,
1770015803,1,1770047008,1770051100,101,0,
1770015801,1,1770050900,1770051100,103,0,
1750011003,2,1750020702,1750068600,103,0,
1750002105,1,1750004102,1750017000,103,0,
1750002107,1,1750004400,1750017000,101,0,
1750008303,1,1750066903,1750015000,101,0,
1750009105,1,1750016500,1750016600,011,0,
1750010907,1,1750058204,1750020602,101,0,
1780007302,1,1780012102,1780333200,101,0,
1780005615,1,1780332900,1780430000,101,0,
1780005612,1,1780429902,1780430000,011,0,
1780008803,1,1780017500,1750070100,011,0,
1780005608,1,1750024401,1750023501,101,0,
1750012104,1,1750025505,1750025400,101,0,
1750002004,1,1750004205,1750004101,011,0,
1750002204,1,1750004502,1750018600,101,0,
1750008505,1,1750015506,1750015400,101,0,
1780008214,1,1780016402,1780016301,011,0,
1750009101,1,1750057702,1750016000,101,0,
1750010904,1,1750019000,1750018900,011,0,
1750010903,1,1750017602,1750018900,101,0,
1750011728,1,1750024101,1750061800,101,0,
1780005610,3,1780429800,1780429700,011,0,
1780005004,1,1750022102,1780428100,103,0,
1780006103,1,1780429300,1780283600,101,0,
1750010804,1,1750069402,1750069200,101,0,
1750012103,1,1750023205,1750023101,011,0,
1780005610,2,1780429800,1780429300,101,0,
1780005611,1,1780429403,1780429300,011,0,
1770017703,1,1770060402,1760395200,101,0,
1750011003,1,1750020702,1750021000,101,0,
